url,success,doi_found,abstract_found,doi,abstract,extraction_method,error,source,category,domain
http://scienceroll.com/2007/09/04/the-genome-of-craig-venter/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/04/the-genome-of-craig-venter/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D871F0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://scienceroll.com/2007/09/04/live-coverage-now-scifoo-lives-on-session-about-the-definition-of-open-science/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/04/live-coverage-now-scifoo-lives-on-session-about-the-definition-of-open-science/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D20820>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://scienceblogs.com/insolence/2007/09/an_embarrassing_critique_of_the_enemies.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/insolence/2007/09/an_embarrassing_critique_of_the_enemies.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/cognitivedaily/2007/09/misleading_lie_detector_scienc.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/cognitivedaily/2007/09/misleading_lie_detector_scienc.php,main_url,scientific,scienceblogs.com
http://scienceroll.com/2007/09/04/7-tips-how-to-track-the-information-you-need/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/04/7-tips-how-to-track-the-information-you-need/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D21030>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.livescience.com/php/multimedia/imagegallery/igviewer.php?gid=46,True,False,True,,"Daily discoveries, groundbreaking research and fascinating science breakthroughs that impact you and the wider world, reported by our expert journalists.",GenericHandler,,main_url,scientific,livescience.com
http://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php,main_url,scientific,scienceblogs.com
http://scienceroll.com/2007/09/05/wikiprofessional-alpha-testing-a-wiki-of-web-30/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/05/wikiprofessional-alpha-testing-a-wiki-of-web-30/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D21390>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.broad.harvard.edu/cgi-bin/news/display_news.cgi?id=3741,False,False,False,,,,404 Client Error: Not Found for url: https://www.broadinstitute.org/news/newsroom?id=3741,main_url,scientific,broad.harvard.edu
http://scienceblogs.com/digitalbio/2007/09/genetic_variation_i_what_is_a.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/genetic_variation_i_what_is_a.php,main_url,scientific,scienceblogs.com
http://scienceroll.com/2007/09/05/kidney-stones-and-photography/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/05/kidney-stones-and-photography/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FCF2B0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://notexactlyrocketscience.wordpress.com/2007/09/05/moray-eels-attack-alien-style-with-second-pair-of-jaws/,True,False,True,,"In the Alien movies, the eponymous monster killed shipmates and marines with a fearsome set of double jaws. That may have been science fiction but science fact isn't too far off. In our planet’s tropical oceans, moray eels use a ballistic set of second jaws to catch their prey. These 'pharyngeal jaws' are housed in…",GenericHandler,,main_url,scientific,notexactlyrocketscience.wordpress.com
http://scienceblogs.com/zooillogix/2007/09/video_game_violence_leads_to_m.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/zooillogix/2007/09/video_game_violence_leads_to_m.php,main_url,scientific,scienceblogs.com
http://www.sciencedaily.com/releases/2007/09/070904142918.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070904142918.htm,main_url,scientific,sciencedaily.com
http://scienceblogs.com/neurotopia/2007/09/breaking_christian_university.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/neurotopia/2007/09/breaking_christian_university.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/neurophilosophy/2007/09/science_manga_instructions_for.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/neurophilosophy/2007/09/science_manga_instructions_for.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/pharyngula/2007/09/battling_giants.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/pharyngula/2007/09/battling_giants.php,main_url,scientific,scienceblogs.com
http://www.livescience.com/environment/070906_gw_atlas.html,True,False,True,,Change to land and sea from global warming mean maps need to be redrawn.,GenericHandler,,main_url,scientific,livescience.com
http://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php?utm_source=sbhomepage&amp;utm_medium=link&amp;utm_content=sublink,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/watsons_genome_venters_genome.php?utm_source=sbhomepage&amp;utm_medium=link&amp;utm_content=sublink,main_url,scientific,scienceblogs.com
http://www.scientificblogging.com/hank/the_least_known_war_in_science_does_hiv_cause_aids#comment-1600,True,False,True,,"There's a war happening in science but you may not know about it, and it's stranger than most because it is pitting some people with HIV and their loved ones against the scientists and medical community trying to cure it. In other words, it's a war that makes even less sense than most wars.",GenericHandler,,main_url,scientific,scientificblogging.com
http://www.scientificblogging.com/hank/the_least_known_war_in_science_does_hiv_cause_aids#comment-1600,True,False,True,,"There's a war happening in science but you may not know about it, and it's stranger than most because it is pitting some people with HIV and their loved ones against the scientists and medical community trying to cure it. In other words, it's a war that makes even less sense than most wars.",GenericHandler,,main_url,scientific,scientificblogging.com
http://scienceblogs.com/aetiology/2007/09/ah_e_coliis_there_any_limit_to.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/ah_e_coliis_there_any_limit_to.php,main_url,scientific,scienceblogs.com
http://science-student.com/math-resources/calculus-cheat-sheet-with-formulas-identities-and-theorems,False,False,False,,,,404 Client Error: Not Found for url: https://www.science-student.com/math-resources/calculus-cheat-sheet-with-formulas-identities-and-theorems,main_url,scientific,science-student.com
http://stardustathome.ssl.berkeley.edu/index.php,True,False,False,,,GenericHandler,,main_url,scientific,stardustathome.ssl.berkeley.edu
http://www.spectrum.ieee.org/sep07/5498,False,False,False,,,,"HTTPSConnectionPool(host='www.spectrum.ieee.org', port=443): Max retries exceeded with url: /sep07/5498 (Caused by SSLError(CertificateError(""hostname 'www.spectrum.ieee.org' doesn't match 'n.sni-347-default.ssl.fastly.net'"")))",main_url,scientific,spectrum.ieee.org
http://scienceblogs.com/aetiology/2007/09/life_imitates_art_imitating_li.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/life_imitates_art_imitating_li.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/black_box_warnings_on_antidepr.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/black_box_warnings_on_antidepr.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/thusspakezuska/2007/09/networked_science_whos_it_good.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/thusspakezuska/2007/09/networked_science_whos_it_good.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/denialism/2007/09/whats_killing_the_bees_iapv_ap.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/denialism/2007/09/whats_killing_the_bees_iapv_ap.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/denialism/2007/09/mythbusting_its_harder_than_yo.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/denialism/2007/09/mythbusting_its_harder_than_yo.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/neurophilosophy/2007/09/amazing_boomerang_photo.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/neurophilosophy/2007/09/amazing_boomerang_photo.php,main_url,scientific,scienceblogs.com
http://www.sciencepunk.com/v5/2007/09/water-surface-as-a-music-controller-toriton-plus/,False,False,False,,,,404 Client Error: Not Found for url: http://sciencepunk.com/v5/2007/09/water-surface-as-a-music-controller-toriton-plus/,main_url,scientific,sciencepunk.com
http://www.scienceblog.com/cms/creeptastic-moray-eels-have-jaws-alien-14134.html,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblog.com/cms/creeptastic-moray-eels-have-jaws-alien-14134.html,main_url,scientific,scienceblog.com
http://www.scienceinreview.com/2007/stem-cells-to-repair-the-heart.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/stem-cells-to-repair-the-heart.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6D22BC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://scienceblogs.com/thusspakezuska/2007/09/friday_bookshelf_james_d_watso.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/thusspakezuska/2007/09/friday_bookshelf_james_d_watso.php,main_url,scientific,scienceblogs.com
http://www.berkeley.edu/news/media/releases/2007/09/05_WhaleSonar.shtml,True,False,False,,,GenericHandler,,main_url,scientific,berkeley.edu
http://scienceblogs.com/catdynamics/2007/09/old_ice.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/catdynamics/2007/09/old_ice.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/digitalbio/2007/09/overwhelmed_by_information.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/overwhelmed_by_information.php,main_url,scientific,scienceblogs.com
http://sitemason.vanderbilt.edu/newspub/bjfTyg?id=37167,False,False,False,,,,"HTTPConnectionPool(host='sitemason.vanderbilt.edu', port=80): Max retries exceeded with url: /newspub/bjfTyg?id=37167 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000236D6D23CD0>, 'Connection to sitemason.vanderbilt.edu timed out. (connect timeout=30)'))",main_url,scientific,sitemason.vanderbilt.edu
http://www.sciencehumor.org/2007/nanobot-nanohell/,True,False,True,,ไพ่ดอกไหนใหญ่สุด ช่วยให้คุณเล่นเกมและเดิมพันได้อย่างสนุกสนานและท้าทาย พร้อมเสริมความเพลิดเพลินและความตื่นเต้นให้กับการเล่นไพ่อย่างเต็มที่ และเรียนรู้ความหมายของไพ่ที่มาพร้อมกับความสุข,GenericHandler,,main_url,scientific,sciencehumor.org
http://scienceblogs.com/grrlscientist/2007/09/alex_the_grey_parrot_colleague.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/alex_the_grey_parrot_colleague.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/alex_the_grey_parrot_colleague.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/alex_the_grey_parrot_colleague.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/alex_the_grey_parrot_colleague.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/alex_the_grey_parrot_colleague.php,main_url,scientific,scienceblogs.com
"http://education.guardian.co.uk/egweekly/story/0,,2157054,00.html",True,False,True,,<p>A heated debate about coffee.</p>,GenericHandler,,main_url,scientific,education.guardian.co.uk
http://www.nature.com/news/2007/070903/full/070903-19.html;jsessionid=209CA12217579D14E817855768C4A49F,True,False,True,,Find breaking science news and analysis from the world's leading research journal.,NatureHandler,,main_url,scientific,nature.com
http://www.sciencedaily.com/releases/2007/09/070904082539.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070904082539.htm,main_url,scientific,sciencedaily.com
http://www.scientificblogging.com/georg_von_hippel/the_physics_of_the_didgeridoo,False,False,False,,,,404 Client Error: Not Found for url: https://www.science20.com/georg_von_hippel/the_physics_of_the_didgeridoo,main_url,scientific,scientificblogging.com
http://scienceblogs.com/clock/2007/09/pay_attention_in_biology_class.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/clock/2007/09/pay_attention_in_biology_class.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/clock/2007/09/pay_attention_in_biology_class.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/clock/2007/09/pay_attention_in_biology_class.php,main_url,scientific,scienceblogs.com
http://scienceandpublicpolicy.org/sppi_originals/peerreview.html,True,False,True,,Toto Macau adalah situs togel online resmi dan agen togel terpercaya dengan berbagai permainan togel dan bonus menarik. Bergabunglah untuk pengalaman bermain togel yang aman.,GenericHandler,,main_url,scientific,scienceandpublicpolicy.org
http://www.sciencedaily.com/releases/2007/09/070910094305.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070910094305.htm,main_url,scientific,sciencedaily.com
http://scienceroll.com/2007/09/10/live-coverage-scifoo-lives-on-session-about-videos-in-science/,False,False,False,,,,"HTTPConnectionPool(host='scienceroll.com', port=80): Max retries exceeded with url: /2007/09/10/live-coverage-scifoo-lives-on-session-about-videos-in-science/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D6FEAA70>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))",main_url,scientific,scienceroll.com
http://www.sciencepunk.com/v5/2007/09/the-ingenious-suicide-of-william-vogut/,False,False,False,,,,404 Client Error: Not Found for url: http://sciencepunk.com/v5/2007/09/the-ingenious-suicide-of-william-vogut/,main_url,scientific,sciencepunk.com
http://www.sciencedaily.com/releases/2007/09/070910100314.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070910100314.htm,main_url,scientific,sciencedaily.com
http://www.palomar.edu/oceanography/salty_ocean.htm,False,False,False,,,,404 Client Error: Not Found for url: https://www.palomar.edu/oceanography/salty_ocean.htm,main_url,scientific,palomar.edu
http://www.palomar.edu/oceanography/salty_ocean.htm,False,False,False,,,,404 Client Error: Not Found for url: https://www.palomar.edu/oceanography/salty_ocean.htm,main_url,scientific,palomar.edu
http://www.scienceblogs.com/cognitivedaily/2007/09/men_prefer_more_attractive_fac.php,False,False,False,,,,404 Client Error: Not Found for url: https://www.scienceblogs.com/cognitivedaily/2007/09/men_prefer_more_attractive_fac.php,main_url,scientific,scienceblogs.com
http://www.sciencedaily.com/releases/2007/09/070909221303.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070909221303.htm,main_url,scientific,sciencedaily.com
http://scienceblogs.com/grrlscientist/2007/09/today_is_world_suicide_prevent.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/today_is_world_suicide_prevent.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/aetiology/2007/09/world_rabies_day.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/world_rabies_day.php,main_url,scientific,scienceblogs.com
http://notexactlyrocketscience.wordpress.com/2007/09/10/genetic-study-puts-damper-on-gray-whales%e2%80%99-comeback/,True,False,True,,"The eastern Pacific gray whale has bounced back from the brink of extinction to a healthy population of 22,000 individuals. But by measuring the genetic diversity of these whales, scientists have estimated that the original population was up to five times larger. The whales aren’t out of the danger zone yet, and climate change may…",GenericHandler,,main_url,scientific,notexactlyrocketscience.wordpress.com
http://www.sciencedaily.com/releases/2007/09/070905103033.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070905103033.htm,main_url,scientific,sciencedaily.com
http://www.sciencedaily.com/upi/index.php?feed=Science&amp;article=UPI-1-20070910-14185700-bc-us-drugevents.xml,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/upi/index.php?feed=Science&amp;article=UPI-1-20070910-14185700-bc-us-drugevents.xml,main_url,scientific,sciencedaily.com
http://www.sciencedaily.com/upi/index.php?feed=Science&amp;article=UPI-1-20070910-14185700-bc-us-drugevents.xml,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/upi/index.php?feed=Science&amp;article=UPI-1-20070910-14185700-bc-us-drugevents.xml,main_url,scientific,sciencedaily.com
http://www.sciencefriday.com/video/082807/diablohawk082807.html,False,False,False,,,,404 Client Error: Not Found for url: https://www.sciencefriday.com/video/082807/diablohawk082807.html,main_url,scientific,sciencefriday.com
http://scienceblogs.com/omnibrain/2007/09/unhealthy_overweight_people_sh.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/omnibrain/2007/09/unhealthy_overweight_people_sh.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/aetiology/2007/09/ebola_outbreak_confirmed_in_co.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/ebola_outbreak_confirmed_in_co.php,main_url,scientific,scienceblogs.com
http://www.sciencedaily.com/releases/2007/09/070911073921.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070911073921.htm,main_url,scientific,sciencedaily.com
http://scienceblogs.com/omnibrain/2007/09/guide_to_toture_available_onli.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/omnibrain/2007/09/guide_to_toture_available_onli.php,main_url,scientific,scienceblogs.com
http://www.nature.com/news/2007/070903/full/070903-19.html;jsessionid=199A3B923FD3D1690C8CE1F9F145C66C,True,False,True,,Find breaking science news and analysis from the world's leading research journal.,NatureHandler,,main_url,scientific,nature.com
http://scienceblogs.com/intersection/2007/09/boys_are_easy.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/intersection/2007/09/boys_are_easy.php,main_url,scientific,scienceblogs.com
http://www.livescience.com/healthday/601288.html,False,False,False,,,,404 Client Error: Not Found for url: https://www.livescience.com/healthday/601288.html,main_url,scientific,livescience.com
http://scienceblogs.com/digitalbio/2007/09/post_2.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/digitalbio/2007/09/post_2.php,main_url,scientific,scienceblogs.com
http://www.livescience.com/technology/070911_smarts_cars.html,True,False,True,,Just don an EEG bathing cap and wait for boredom to set in.,GenericHandler,,main_url,scientific,livescience.com
http://scienceblogs.com/omnibrain/2007/09/the_most_offensive_equation_in.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/omnibrain/2007/09/the_most_offensive_equation_in.php,main_url,scientific,scienceblogs.com
http://www.uaf.edu/news/headlines/20070907181412.html,False,False,False,,,,404 Client Error: Not Found for url: https://www.uaf.edu/news/headlines/20070907181412.html,main_url,scientific,uaf.edu
http://www.bio.miami.edu/dana/pix/diatoms.jpg,False,False,False,,,,"HTTPSConnectionPool(host='www.bio.miami.edu', port=443): Max retries exceeded with url: /dana/pix/diatoms.jpg (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)')))",main_url,scientific,bio.miami.edu
http://www.bio.miami.edu/dana/pix/diatoms.jpg,False,False,False,,,,"HTTPSConnectionPool(host='www.bio.miami.edu', port=443): Max retries exceeded with url: /dana/pix/diatoms.jpg (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)')))",main_url,scientific,bio.miami.edu
http://scienceblogs.com/terrasig/2007/09/reed_elseviers_experiment_with.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/terrasig/2007/09/reed_elseviers_experiment_with.php,main_url,scientific,scienceblogs.com
http://www.scienceinreview.com/2007/extreme-male-brain-autism-linked-to-high-foetal-testosterone-levels.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/extreme-male-brain-autism-linked-to-high-foetal-testosterone-levels.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D73E6710>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://scienceblogs.com/thusspakezuska/2007/09/gender_equity_and_the_poor_dis.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/thusspakezuska/2007/09/gender_equity_and_the_poor_dis.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/aetiology/2007/09/raise_gas_prices_to_slim_down.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/aetiology/2007/09/raise_gas_prices_to_slim_down.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/evolutionblog/2007/09/the_gauntlet_is_thrown.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/evolutionblog/2007/09/the_gauntlet_is_thrown.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/pharyngula/2007/09/another_creationist_serial_lit.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/pharyngula/2007/09/another_creationist_serial_lit.php,main_url,scientific,scienceblogs.com
http://math.ucr.edu/home/baez/books.html,True,False,False,,,GenericHandler,,main_url,scientific,math.ucr.edu
http://scienceblogs.com/deepseanews/2007/09/microbial_bioprospecting_in_th.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/deepseanews/2007/09/microbial_bioprospecting_in_th.php,main_url,scientific,scienceblogs.com
http://www.sciencedaily.com/releases/2007/09/070905155141.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070905155141.htm,main_url,scientific,sciencedaily.com
http://www.sciencedaily.com/releases/2007/09/070905155141.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070905155141.htm,main_url,scientific,sciencedaily.com
http://www.scienceinreview.com/2007/dna-forensics-how-dna-fingerprinting-works.html,False,False,False,,,,"HTTPConnectionPool(host='www.scienceinreview.com', port=80): Max retries exceeded with url: /2007/dna-forensics-how-dna-fingerprinting-works.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000236D73E6410>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))",main_url,scientific,scienceinreview.com
http://www.spectrum.ieee.org/sep07/5487,False,False,False,,,,"HTTPSConnectionPool(host='www.spectrum.ieee.org', port=443): Max retries exceeded with url: /sep07/5487 (Caused by SSLError(CertificateError(""hostname 'www.spectrum.ieee.org' doesn't match 'n.sni-347-default.ssl.fastly.net'"")))",main_url,scientific,spectrum.ieee.org
http://scienceblogs.com/omnibrain/2007/09/congratulations_russia_on_your.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/omnibrain/2007/09/congratulations_russia_on_your.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/deepseanews/2007/09/i_gotta_have_more_microbes.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/deepseanews/2007/09/i_gotta_have_more_microbes.php,main_url,scientific,scienceblogs.com
http://scienceblogs.com/grrlscientist/2007/09/chocolate_and_addiction.php,False,False,False,,,,404 Client Error: Not Found for url: https://scienceblogs.com/grrlscientist/2007/09/chocolate_and_addiction.php,main_url,scientific,scienceblogs.com
http://notexactlyrocketscience.wordpress.com/2007/09/12/did-climate-change-kill-off-the-neanderthals-not-likely%e2%80%a6/,True,False,True,,"The reasons why the Neanderthals died off remain a mystery. One of the major theories says that they were the victims of major climate changes, but new evidence suggests that this is an unlikely scenario. In an age where climate change driven by our own hand is poised to cause catastrophic changes to human life,…",GenericHandler,,main_url,scientific,notexactlyrocketscience.wordpress.com
http://www.scientificblogging.com/hank/who_won_the_americas_cup_yacht_race_applied_mathematics?full=1,True,False,True,,"In yacht racing, a one percent difference in boat resistance leads to a gain or loss of more than 30 seconds in a match race.",GenericHandler,,main_url,scientific,scientificblogging.com
http://www.sciencedaily.com/releases/2007/09/070912130815.htm,False,False,False,,,,403 Client Error: Forbidden for url: https://www.sciencedaily.com/releases/2007/09/070912130815.htm,main_url,scientific,sciencedaily.com
